sub	mass	height	activity	speed	stiffness	AngMomCor	AngMomTrans
1	82	1.6	IN	SSW	A	0.060162416	0.03049863
1	82	1.6	IN	SSW	B	0.04434506	0.019265056
1	82	1.6	IN	SSW	C	0.0379949	0.011218843
2	85	1.7	IN	SSW	A	0.049296656	0.012270754
2	85	1.7	IN	SSW	B	0.059368358	0.02264553
2	85	1.7	IN	SSW	C	0.050091131	0.012459751
3	89	1.8	IN	SSW	A	0.05550917	0.019815509
3	89	1.8	IN	SSW	B	0.05918774	0.021209949
3	89	1.8	IN	SSW	C	0.049049165	0.01949291
4	97	1.7	IN	SSW	A	0.042959238	0.012722771
4	97	1.7	IN	SSW	B	0.058954281	0.012653417
4	97	1.7	IN	SSW	C	0.051824665	0.020543693
5	94	1.75	IN	SSW	A	0.06152511	0.021780605
5	94	1.75	IN	SSW	B	0.05197895	0.026084976
5	94	1.75	IN	SSW	C	0.067347088	0.016560859
6	75	1.85	IN	SSW	A	0.050162648	0.012512929
6	75	1.85	IN	SSW	B	0.095472289	0.015585174
6	75	1.85	IN	SSW	C	0.043285623	0.026073501
7	50	1.5	IN	SSW	A	0.047936473	0.00936901
7	50	1.5	IN	SSW	B	0.066119146	0.0189272
7	50	1.5	IN	SSW	C	0.085426808	0.01491705
8	75	1.75	IN	SSW	A	0.056138607	0.021228368
8	75	1.75	IN	SSW	B	0.033598371	0.026285924
8	75	1.75	IN	SSW	C	0.064592276	0.009400857
9	90	1.825	IN	SSW	A	0.054844575	0.00398453
9	90	1.825	IN	SSW	B	0.045113904	0.015081203
9	90	1.825	IN	SSW	C	0.06877744	0.012184705
10	94	1.725	IN	SSW	A	0.072045469	0.016588718
10	94	1.725	IN	SSW	B	0.065593736	0.010773575
10	94	1.725	IN	SSW	C	0.065158515	0.016849624
1	82	1.6	OUT	SSW	A	0.050291201	0.022619641
1	82	1.6	OUT	SSW	A	0.051505918	0.023270908
1	82	1.6	OUT	SSW	A	0.059821611	0.008254453
1	82	1.6	OUT	SSW	B	0.0648011	0.00972787
1	82	1.6	OUT	SSW	B	0.065191532	0.019394278
1	82	1.6	OUT	SSW	B	0.046604602	0.000521329
1	82	1.6	OUT	SSW	C	0.055245328	0.02013653
1	82	1.6	OUT	SSW	C	0.038973161	0.013323436
1	82	1.6	OUT	SSW	C	0.086834626	0.010353358
2	85	1.7	OUT	SSW	A	0.060566761	0.020856528
2	85	1.7	OUT	SSW	A	0.068139685	0.006529181
2	85	1.7	OUT	SSW	A	0.0697673	0.022369601
2	85	1.7	OUT	SSW	B	0.058533028	0.011145128
2	85	1.7	OUT	SSW	B	0.053122172	0.006757723
2	85	1.7	OUT	SSW	B	0.049783681	0.024462859
2	85	1.7	OUT	SSW	C	0.059089189	0.012323349
2	85	1.7	OUT	SSW	C	0.060111503	0.023434654
2	85	1.7	OUT	SSW	C	0.048559218	0.014983482
3	89	1.8	OUT	SSW	A	0.04949461	0.022634151
3	89	1.8	OUT	SSW	A	0.066415981	0.019545035
3	89	1.8	OUT	SSW	A	0.049951947	0.011598299
3	89	1.8	OUT	SSW	B	0.086269307	0.029713358
3	89	1.8	OUT	SSW	B	0.044193873	0.023444189
3	89	1.8	OUT	SSW	B	0.058422715	0.017639716
3	89	1.8	OUT	SSW	C	0.046445261	0.009924971
3	89	1.8	OUT	SSW	C	0.049321173	0.02496805
3	89	1.8	OUT	SSW	C	0.062494381	0.007344398
4	97	1.7	OUT	SSW	A	0.064891299	0.022036147
4	97	1.7	OUT	SSW	A	0.068644535	0.021795743
4	97	1.7	OUT	SSW	A	0.04941553	0.018708607
4	97	1.7	OUT	SSW	B	0.04250484	0.021467527
4	97	1.7	OUT	SSW	B	0.036651291	0.006065351
4	97	1.7	OUT	SSW	B	0.053870655	0.018615834
4	97	1.7	OUT	SSW	C	0.052998154	0.006752518
4	97	1.7	OUT	SSW	C	0.067970979	0.013541321
4	97	1.7	OUT	SSW	C	0.075503886	0.003827187
5	94	1.75	OUT	SSW	A	0.065788854	0.018800682
5	94	1.75	OUT	SSW	A	0.062233124	0.012152959
5	94	1.75	OUT	SSW	A	0.048030829	0.010212011
5	94	1.75	OUT	SSW	B	0.052639272	0.013922559
5	94	1.75	OUT	SSW	B	0.066573762	0.021207033
5	94	1.75	OUT	SSW	B	0.060276241	0.016322889
5	94	1.75	OUT	SSW	C	0.069901951	0.012739407
5	94	1.75	OUT	SSW	C	0.063764949	0.016555701
5	94	1.75	OUT	SSW	C	0.064175101	0.015960116
6	75	1.85	OUT	SSW	A	0.060054625	0.020551644
6	75	1.85	OUT	SSW	A	0.066909104	0.008857514
6	75	1.85	OUT	SSW	A	0.042406534	0.011411092
6	75	1.85	OUT	SSW	B	0.042292022	0.010539729
6	75	1.85	OUT	SSW	B	0.055019369	0.018215155
6	75	1.85	OUT	SSW	B	0.036765636	0.022444486
6	75	1.85	OUT	SSW	C	0.065450495	0.01521906
6	75	1.85	OUT	SSW	C	0.044901998	0.021328516
6	75	1.85	OUT	SSW	C	0.05471082	0.034773308
7	50	1.5	OUT	SSW	A	0.061269313	0.014097466
7	50	1.5	OUT	SSW	A	0.080690581	-0.003585096
7	50	1.5	OUT	SSW	A	0.072166444	0.014638968
7	50	1.5	OUT	SSW	B	0.06227245	0.018020941
7	50	1.5	OUT	SSW	B	0.038578736	0.031024529
7	50	1.5	OUT	SSW	B	0.075792892	0.023695057
7	50	1.5	OUT	SSW	C	0.064411341	0.024622089
7	50	1.5	OUT	SSW	C	0.059419741	0.021032408
7	50	1.5	OUT	SSW	C	0.05728092	0.031395179
8	75	1.75	OUT	SSW	A	0.058627945	0.020055978
8	75	1.75	OUT	SSW	A	0.059590443	0.013599951
8	75	1.75	OUT	SSW	A	0.050080252	0.017575741
8	75	1.75	OUT	SSW	B	0.042453058	0.022323335
8	75	1.75	OUT	SSW	B	0.049454084	0.019322594
8	75	1.75	OUT	SSW	B	0.057146205	0.015875516
8	75	1.75	OUT	SSW	C	0.079730139	0.022738062
8	75	1.75	OUT	SSW	C	0.05960797	0.022263479
8	75	1.75	OUT	SSW	C	0.049356301	0.011770945
9	90	1.825	OUT	SSW	A	0.050591446	0.030385232
9	90	1.825	OUT	SSW	A	0.051267015	0.009144877
9	90	1.825	OUT	SSW	A	0.059985022	0.013712958
9	90	1.825	OUT	SSW	B	0.059706653	0.022836198
9	90	1.825	OUT	SSW	B	0.044005616	0.01431027
9	90	1.825	OUT	SSW	B	0.066493936	0.014897405
9	90	1.825	OUT	SSW	C	0.061788328	0.016523551
9	90	1.825	OUT	SSW	C	0.059557098	0.010135916
9	90	1.825	OUT	SSW	C	0.04095338	0.008591339
10	94	1.725	OUT	SSW	A	0.089114854	0.02626886
10	94	1.725	OUT	SSW	A	0.060223157	0.008585525
10	94	1.725	OUT	SSW	A	0.066642236	0.017463092
10	94	1.725	OUT	SSW	B	0.051533362	0.00905432
10	94	1.725	OUT	SSW	B	0.065085075	0.016731402
10	94	1.725	OUT	SSW	B	0.041272204	0.017278151
10	94	1.725	OUT	SSW	C	0.06317083	0.009584284
10	94	1.725	OUT	SSW	C	0.0580555	0.026824916
10	94	1.725	OUT	SSW	C	0.056317308	0.001852837
1	82	1.6	ST	FSW	A	0.060437991	0.018352407
1	82	1.6	ST	FSW	B	0.069408248	0.011963146
1	82	1.6	ST	FSW	C	0.071259736	0.015457866
2	85	1.7	ST	FSW	A	0.048849939	-0.005297455
2	85	1.7	ST	FSW	B	0.072582204	0.020666313
2	85	1.7	ST	FSW	C	0.045963724	0.009889573
3	89	1.8	ST	FSW	A	0.067150911	0.008055322
3	89	1.8	ST	FSW	B	0.044836985	0.02244317
3	89	1.8	ST	FSW	C	0.067626233	0.01198111
4	97	1.7	ST	FSW	A	0.048457305	0.002582855
4	97	1.7	ST	FSW	B	0.058962226	0.015636411
4	97	1.7	ST	FSW	C	0.043224749	0.019891943
5	94	1.75	ST	FSW	A	0.047311454	0.013560782
5	94	1.75	ST	FSW	B	0.082109642	0.013097303
5	94	1.75	ST	FSW	C	0.052129132	0.019859705
6	75	1.85	ST	FSW	A	0.040540458	0.022407358
6	75	1.85	ST	FSW	B	0.063049988	0.014595963
6	75	1.85	ST	FSW	C	0.073838886	0.024941706
7	50	1.5	ST	FSW	A	0.095673173	0.009219868
7	50	1.5	ST	FSW	B	0.059720122	0.018352994
7	50	1.5	ST	FSW	C	0.04414327	0.019706041
8	75	1.75	ST	FSW	A	0.07478262	0.023604896
8	75	1.75	ST	FSW	B	0.064733905	0.007253649
8	75	1.75	ST	FSW	C	0.06782146	0.018346128
9	90	1.825	ST	FSW	A	0.077514733	0.019796157
9	90	1.825	ST	FSW	B	0.070190452	0.015385214
9	90	1.825	ST	FSW	C	0.061232606	0.008078491
10	94	1.725	ST	FSW	A	0.046328274	0.015212715
10	94	1.725	ST	FSW	B	0.039876232	0.029553782
10	94	1.725	ST	FSW	C	0.059781642	0.023095971
1	82	1.6	ST	SLW	A	0.074794703	-0.00776838
1	82	1.6	ST	SLW	B	0.03578727	0.025490876
1	82	1.6	ST	SLW	C	0.047929572	0.018011561
2	85	1.7	ST	SLW	A	0.063553844	0.015673334
2	85	1.7	ST	SLW	B	0.066283722	0.006594321
2	85	1.7	ST	SLW	C	0.053723483	0.014559051
3	89	1.8	ST	SLW	A	0.047097616	0.015421583
3	89	1.8	ST	SLW	B	0.055195803	0.016038502
3	89	1.8	ST	SLW	C	0.046399049	0.017523998
4	97	1.7	ST	SLW	A	0.055119112	0.024553153
4	97	1.7	ST	SLW	B	0.059868783	0.013581704
4	97	1.7	ST	SLW	C	0.068710769	0.014885733
5	94	1.75	ST	SLW	A	0.050284155	0.015195473
5	94	1.75	ST	SLW	B	0.036858339	0.018864953
5	94	1.75	ST	SLW	C	0.078882521	0.0217153
6	75	1.85	ST	SLW	A	0.050572973	0.026932337
6	75	1.85	ST	SLW	B	0.074532147	0.007476179
6	75	1.85	ST	SLW	C	0.059986854	0.008129831
7	50	1.5	ST	SLW	A	0.053588621	0.012159129
7	50	1.5	ST	SLW	B	0.050667862	0.012608101
7	50	1.5	ST	SLW	C	0.047187697	0.018355646
8	75	1.75	ST	SLW	A	0.078971365	0.014837425
8	75	1.75	ST	SLW	B	0.053981877	0.006497441
8	75	1.75	ST	SLW	C	0.076851242	0.014825634
9	90	1.825	ST	SLW	A	0.051299269	0.010268199
9	90	1.825	ST	SLW	B	0.059539156	0.020472163
9	90	1.825	ST	SLW	C	0.043133755	0.022523358
10	94	1.725	ST	SLW	A	0.068801961	0.013997686
10	94	1.725	ST	SLW	B	0.067888303	0.018952263
10	94	1.725	ST	SLW	C	0.05127718	0.0278205
1	82	1.6	ST	SSW	A	0.047120458	0.020789026
1	82	1.6	ST	SSW	B	0.048743109	0.024526692
1	82	1.6	ST	SSW	C	0.06644076	0.023831833
2	85	1.7	ST	SSW	A	0.057209739	0.022096449
2	85	1.7	ST	SSW	B	0.059062595	0.009778081
2	85	1.7	ST	SSW	C	0.067900115	0.004880613
3	89	1.8	ST	SSW	A	0.053279459	0.019866553
3	89	1.8	ST	SSW	B	0.035736309	0.018525467
3	89	1.8	ST	SSW	C	0.044208641	0.016059679
4	97	1.7	ST	SSW	A	0.04970008	0.012792695
4	97	1.7	ST	SSW	B	0.061461791	0.010647109
4	97	1.7	ST	SSW	C	0.05578181	0.009983385
5	94	1.75	ST	SSW	A	0.067301042	0.007563511
5	94	1.75	ST	SSW	B	0.044672718	0.0160122
5	94	1.75	ST	SSW	C	0.061877776	0.015898335
6	75	1.85	ST	SSW	A	0.07283139	0.018910109
6	75	1.85	ST	SSW	B	0.062330705	0.016462419
6	75	1.85	ST	SSW	C	0.063185161	0.024109064
7	50	1.5	ST	SSW	A	0.042844122	0.024697271
7	50	1.5	ST	SSW	B	0.053547197	0.018938527
7	50	1.5	ST	SSW	C	0.070489163	0.015638294
8	75	1.75	ST	SSW	A	0.059896158	0.021453582
8	75	1.75	ST	SSW	B	0.069647393	0.020347268
8	75	1.75	ST	SSW	C	0.054781273	0.018610997
9	90	1.825	ST	SSW	A	0.072291334	0.023665112
9	90	1.825	ST	SSW	B	0.059688897	0.013974758
9	90	1.825	ST	SSW	C	0.057232672	0.019669725
10	94	1.725	ST	SSW	A	0.045913155	0.023521851
10	94	1.725	ST	SSW	B	0.048716105	0.02746499
10	94	1.725	ST	SSW	C	0.089855581	0.02546223
