sub	mass	height	activity	speed	stiffness	intptpm	extptpm
3	89	1.8	OUT	SSW	B	118.950091	-4.410972403
3	89	1.8	OUT	SSW	C	32.51764583	-8.724593786
3	89	1.8	OUT	SSW	A	175.5680092	-12.75512455
3	89	1.8	OUT	SSW	B	150.0577349	-35.88848455
3	89	1.8	OUT	SSW	C	73.67557935	-10.57561738
4	97	1.7	ST	FSW	A	123.8230889	5.342476202
4	97	1.7	ST	FSW	B	115.0982935	-1.76547398
4	97	1.7	ST	FSW	C	116.3511226	-20.53355662
4	97	1.7	ST	SSW	A	66.14513664	-25.07998742
4	97	1.7	ST	SSW	B	41.34020374	26.57373801
4	97	1.7	ST	SSW	C	176.8148579	-7.900716124
4	97	1.7	ST	SLW	A	89.09183868	14.95345723
4	97	1.7	ST	SLW	B	14.41465571	-20.93600119
4	97	1.7	ST	SLW	C	150.1968016	-35.15365405
4	97	1.7	IN	FSW	A	85.61171889	5.25063965
4	97	1.7	IN	FSW	B	103.7544202	21.23107583
4	97	1.7	IN	FSW	C	137.057355	4.324244488
4	97	1.7	IN	SSW	A	26.47472618	-1.346992679
4	97	1.7	IN	SSW	B	102.6004562	30.67809568
4	97	1.7	IN	SSW	C	8.312933329	55.51713003
4	97	1.7	IN	SLW	A	161.8756525	-14.12353587
4	97	1.7	IN	SLW	B	154.1452462	-16.29942665
4	97	1.7	IN	SLW	C	65.65242249	13.27433948
4	97	1.7	OUT	SSW	A	82.0676166	-5.806926392
4	97	1.7	OUT	SSW	B	159.0035105	11.09891006
4	97	1.7	OUT	SSW	C	62.75912755	36.64112521
4	97	1.7	OUT	SSW	A	15.23239045	-4.980987366
4	97	1.7	OUT	SSW	B	57.6655993	-10.4260446
4	97	1.7	OUT	SSW	C	30.62761445	11.02163152
4	97	1.7	OUT	SSW	A	58.04844332	-8.902099226
4	97	1.7	OUT	SSW	B	22.55862259	1.465194299
4	97	1.7	OUT	SSW	C	8.830137512	10.74470801
5	94	1.75	ST	FSW	A	128.23549	-3.636693234
5	94	1.75	ST	FSW	B	81.44346184	-33.88939466
5	94	1.75	ST	FSW	C	117.9859451	19.80273089
5	94	1.75	ST	SSW	A	122.5326941	-4.543491848
5	94	1.75	ST	SSW	B	52.96733668	-48.14223009
5	94	1.75	ST	SSW	C	174.0020062	-45.40102886
5	94	1.75	ST	SLW	A	119.7201774	-13.10022463
5	94	1.75	ST	SLW	B	82.07739641	-10.18943778
5	94	1.75	ST	SLW	C	27.77124666	12.10631838
5	94	1.75	IN	FSW	A	154.2013759	2.484836216
5	94	1.75	IN	FSW	B	64.10233226	-58.96860835
5	94	1.75	IN	FSW	C	50.49236348	6.972878622
5	94	1.75	IN	SSW	A	144.2457406	-51.14086335
5	94	1.75	IN	SSW	B	136.7955014	-29.75356296
5	94	1.75	IN	SSW	C	44.17842451	9.254238285
5	94	1.75	IN	SLW	A	64.39121082	11.31405106
5	94	1.75	IN	SLW	B	149.8963406	-5.489964286
5	94	1.75	IN	SLW	C	55.51599531	-3.293700577
5	94	1.75	OUT	SSW	A	34.78191393	14.64798695
5	94	1.75	OUT	SSW	B	185.2446004	22.79380903
5	94	1.75	OUT	SSW	C	47.42420086	-12.03421288
5	94	1.75	OUT	SSW	A	84.34370334	2.332814088
5	94	1.75	OUT	SSW	B	57.74938204	-3.842222845
5	94	1.75	OUT	SSW	C	112.5154971	24.20931998
5	94	1.75	OUT	SSW	A	191.888529	22.40406749
5	94	1.75	OUT	SSW	B	105.0622446	-2.998663161
5	94	1.75	OUT	SSW	C	55.62222314	6.529915744
6	75	1.85	ST	FSW	A	35.0329979	-9.160527677
6	75	1.85	ST	FSW	B	137.88759	-11.49799388
6	75	1.85	ST	FSW	C	32.3310811	-37.30703909
6	75	1.85	ST	SSW	A	6.199803137	-20.69746084
6	75	1.85	ST	SSW	B	73.07474744	10.70226667
6	75	1.85	ST	SSW	C	137.3553126	-2.690221369
6	75	1.85	ST	SLW	A	235.2080335	-15.7102518
6	75	1.85	ST	SLW	B	89.55885771	-42.83019704
6	75	1.85	ST	SLW	C	134.6378429	-4.321863979
6	75	1.85	IN	FSW	A	148.1527321	12.69228199
6	75	1.85	IN	FSW	B	90.60448451	-27.48744231
6	75	1.85	IN	FSW	C	61.26397348	-10.00647699
6	75	1.85	IN	SSW	A	76.60576619	-3.018243961
6	75	1.85	IN	SSW	B	95.43969445	8.426230169
6	75	1.85	IN	SSW	C	78.44485193	-25.78710645
6	75	1.85	IN	SLW	A	63.1530271	-59.09222894
6	75	1.85	IN	SLW	B	37.55202046	-16.98611124
6	75	1.85	IN	SLW	C	21.81035396	16.0340037
6	75	1.85	OUT	SSW	A	61.83688198	-20.53433318
6	75	1.85	OUT	SSW	B	142.1975661	-10.42261998
6	75	1.85	OUT	SSW	C	79.65129001	-6.125533309
6	75	1.85	OUT	SSW	A	55.09929576	-3.665539627
6	75	1.85	OUT	SSW	B	113.1538199	22.59629762
6	75	1.85	OUT	SSW	C	123.3601435	7.569712261
6	75	1.85	OUT	SSW	A	-13.41567425	3.442874424
6	75	1.85	OUT	SSW	B	63.25023647	-8.455592362
6	75	1.85	OUT	SSW	C	14.50297784	-17.07460885
7	50	1.5	ST	FSW	A	48.29715377	-12.77535078
7	50	1.5	ST	FSW	B	-3.312721033	-8.591325281
7	50	1.5	ST	FSW	C	151.0250987	16.83498979
7	50	1.5	ST	SSW	A	144.3942943	-3.208589017
7	50	1.5	ST	SSW	B	129.2558447	26.54140492
7	50	1.5	ST	SSW	C	121.9795528	-29.137257
7	50	1.5	ST	SLW	A	144.2264038	-14.96901012
7	50	1.5	ST	SLW	B	124.938063	-48.97932681
7	50	1.5	ST	SLW	C	75.48131515	-13.58433742
7	50	1.5	IN	FSW	A	32.7692787	-37.81708685
7	50	1.5	IN	FSW	B	-35.79197567	-13.50085376
7	50	1.5	IN	FSW	C	-0.28219028	3.089930019
7	50	1.5	IN	SSW	A	188.4101144	2.134353801
7	50	1.5	IN	SSW	B	40.77407784	-4.070853804
7	50	1.5	IN	SSW	C	137.9685755	10.59886855
7	50	1.5	IN	SLW	A	69.44585433	-0.951371753
7	50	1.5	IN	SLW	B	72.86827034	-11.2394914
7	50	1.5	IN	SLW	C	6.472606021	-28.59636252
7	50	1.5	OUT	SSW	A	-42.17520051	-16.83868046
7	50	1.5	OUT	SSW	B	152.971609	16.73107065
7	50	1.5	OUT	SSW	C	52.22056964	-8.44997049
7	50	1.5	OUT	SSW	A	41.26851495	-22.08683748
7	50	1.5	OUT	SSW	B	99.75375763	13.28546298
7	50	1.5	OUT	SSW	C	37.04137714	-21.95344861
7	50	1.5	OUT	SSW	A	56.63707244	-17.03136948
7	50	1.5	OUT	SSW	B	151.085994	-13.39318671
7	50	1.5	OUT	SSW	C	151.7394243	0.166666302
8	75	1.75	ST	FSW	A	78.05248544	4.04071269
8	75	1.75	ST	FSW	B	87.6478195	-46.84045597
8	75	1.75	ST	FSW	C	123.4258706	6.51036409
8	75	1.75	ST	SSW	A	93.51177931	-17.44834409
8	75	1.75	ST	SSW	B	42.95719559	-11.37193845
8	75	1.75	ST	SSW	C	108.1688315	-18.26346614
8	75	1.75	ST	SLW	A	98.77577101	-4.327004305
8	75	1.75	ST	SLW	B	175.8475458	-19.00170654
8	75	1.75	ST	SLW	C	24.17753153	-12.29335412
8	75	1.75	IN	FSW	A	112.1952456	-20.21437182
8	75	1.75	IN	FSW	B	62.32185615	-12.17655759
8	75	1.75	IN	FSW	C	107.3370695	-31.10464913
8	75	1.75	IN	SSW	A	140.9995652	12.15651174
8	75	1.75	IN	SSW	B	91.99294165	4.453803486
8	75	1.75	IN	SSW	C	37.27437353	-8.871322783
8	75	1.75	IN	SLW	A	60.08359133	-30.41846652
8	75	1.75	IN	SLW	B	8.56462548	19.55320719
8	75	1.75	IN	SLW	C	-21.88541389	46.27665812
8	75	1.75	OUT	SSW	A	100.9638546	6.393633943
8	75	1.75	OUT	SSW	B	32.02357217	7.678435822
8	75	1.75	OUT	SSW	C	149.0031938	4.440089409
8	75	1.75	OUT	SSW	A	4.253235965	24.94932475
8	75	1.75	OUT	SSW	B	14.09720865	-20.13704679
8	75	1.75	OUT	SSW	C	99.55915017	15.0436979
8	75	1.75	OUT	SSW	A	68.998687	10.11522576
8	75	1.75	OUT	SSW	B	124.8418814	26.86999956
8	75	1.75	OUT	SSW	C	108.5830337	8.141710682
9	90	1.825	ST	FSW	A	129.6939631	-13.98972037
9	90	1.825	ST	FSW	B	98.77946965	-18.33086604
9	90	1.825	ST	FSW	C	75.29019694	20.34971818
9	90	1.825	ST	SSW	A	37.2962065	7.2039809
9	90	1.825	ST	SSW	B	101.1495007	-19.78984922
9	90	1.825	ST	SSW	C	55.98538499	0.978821964
9	90	1.825	ST	SLW	A	81.38452246	14.25686468
9	90	1.825	ST	SLW	B	60.1694439	0.482175825
9	90	1.825	ST	SLW	C	145.5989662	10.79952055
9	90	1.825	IN	FSW	A	56.03150008	-23.35184033
9	90	1.825	IN	FSW	B	25.62198724	12.59292297
9	90	1.825	IN	FSW	C	143.9285195	-3.785597181
9	90	1.825	IN	SSW	A	94.21475551	22.48245202
9	90	1.825	IN	SSW	B	3.501356512	-30.60671688
9	90	1.825	IN	SSW	C	152.6966036	22.94712101
9	90	1.825	IN	SLW	A	170.9582932	-13.90127353
9	90	1.825	IN	SLW	B	71.56654104	10.71432698
9	90	1.825	IN	SLW	C	101.7626827	-33.79359865
9	90	1.825	OUT	SSW	A	156.4342998	-22.85945764
9	90	1.825	OUT	SSW	B	46.67239998	-36.19359994
9	90	1.825	OUT	SSW	C	125.4691037	6.652983437
9	90	1.825	OUT	SSW	A	52.22752934	16.94329367
9	90	1.825	OUT	SSW	B	49.40904831	2.523441956
9	90	1.825	OUT	SSW	C	133.5264189	-17.2326668
9	90	1.825	OUT	SSW	A	100.5422761	-21.67568609
9	90	1.825	OUT	SSW	B	84.66498948	5.640422141
9	90	1.825	OUT	SSW	C	169.7263626	-31.80970539
10	94	1.725	ST	FSW	A	-8.169542211	-12.41253399
10	94	1.725	ST	FSW	B	256.0519626	22.26430302
10	94	1.725	ST	FSW	C	143.630111	-29.15688641
10	94	1.725	ST	SSW	A	-17.69168738	-52.26578432
10	94	1.725	ST	SSW	B	76.62046986	-27.47287724
10	94	1.725	ST	SSW	C	228.0592769	-1.16946435
10	94	1.725	ST	SLW	A	175.4995247	-18.71200153
10	94	1.725	ST	SLW	B	11.67361462	-7.868892478
10	94	1.725	ST	SLW	C	80.35265704	-2.221669512
10	94	1.725	IN	FSW	A	64.95482119	-25.23743079
10	94	1.725	IN	FSW	B	20.77187782	5.487475885
10	94	1.725	IN	FSW	C	-75.00925388	-46.15455314
10	94	1.725	IN	SSW	A	143.1211681	-57.30370239
10	94	1.725	IN	SSW	B	156.6424085	15.80066602
10	94	1.725	IN	SSW	C	118.5227004	-17.87017079
10	94	1.725	IN	SLW	A	117.314026	-13.94271206
10	94	1.725	IN	SLW	B	99.35971425	-10.69014845
10	94	1.725	IN	SLW	C	85.84094181	-10.23478632
10	94	1.725	OUT	SSW	A	132.0154155	22.80231322
10	94	1.725	OUT	SSW	B	58.86783408	20.70532303
10	94	1.725	OUT	SSW	C	153.4705721	25.65075053
10	94	1.725	OUT	SSW	A	180.2942944	-3.012049176
10	94	1.725	OUT	SSW	B	34.99916383	-2.345598368
10	94	1.725	OUT	SSW	C	92.53714402	22.06680907
10	94	1.725	OUT	SSW	A	165.0850518	7.227340087
10	94	1.725	OUT	SSW	B	124.8739165	-13.50436274
10	94	1.725	OUT	SSW	C	22.7943873	-50.82246216
